(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Cube (8) (24 verts)	81	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (7) (24 verts)	44	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (1) (24 verts)	7	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	121	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	28	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (13) (24 verts)	74	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (10) (24 verts)	90	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	43	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	69	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (9) (24 verts)	63	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (5) (24 verts)	91	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	36	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (26) (24 verts)	40	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	126	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	45	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (15) (24 verts)	110	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (1) (24 verts)	87	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (10) (24 verts)	11	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (10) (24 verts)	76	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (12) (24 verts)	58	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	35	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	55	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	125	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (12) (24 verts)	67	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	56	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	99	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	1	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	84	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (23) (24 verts)	6	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (19) (24 verts)	21	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (10) (24 verts)	112	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	30	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	4	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (9) (24 verts)	31	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	37	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (5) (24 verts)	22	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (4) (24 verts)	18	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	85	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	19	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	15	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	34	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (24 verts)	38	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (5) (24 verts)	106	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (18) (24 verts)	32	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	72	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (11) (24 verts)	102	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (21) (24 verts)	3	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (25) (24 verts)	64	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
